text,true emotion,GPT 4.1,GPT 4.1 mini,Gemini 2.5 Flash
我竟然在遊戲裡獲得了第一名。,驚奇語調,驚奇語調,開心語調,開心語調
我今天打籃球打得非常開心。,開心語調,開心語調,開心語調,開心語調
那個裁判真的很不公平，完全偏心對方。,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我們今天有一場籃球比賽。,平淡語氣,平淡語氣,平淡語氣,平淡語氣
我最近的表現一直不如預期。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我的朋友竟然打破了校隊的紀錄！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
我剛剛在IG上發布了一則貼文。,平淡語氣,平淡語氣,平淡語氣,平淡語氣
我在IG上的貼文得到了很多按讚！,開心語調,開心語調,開心語調,開心語調
我的IG帳號被盜了。,悲傷語調,悲傷語調,關切語調,關切語調
有人在我的貼文下留了一則攻擊性的評論。,憤怒語調,關切語調,關切語調,憤怒語調
我看到了一個非常驚人的貼文，它有很多人分享。,驚奇語調,驚奇語調,驚奇語調,驚奇語調
我剛學會了彈小星星，練了超久終於學會了！,開心語調,開心語調,開心語調,開心語調
今天排練的時候，他居然又沒來，每次都這樣！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
下週的成果發表，我好緊張，怕彈錯。,平淡語氣,關切語調,關切語調,關切語調
今天社團的音響設備又出問題，直接狂暴音。,厭惡語調,憤怒語調,憤怒語調,憤怒語調
最近練吉他好累，覺得自己怎麼練都沒進步。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
你知道嗎？社長居然在一個比賽上得了冠軍！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
我剛剛寫的程式終於成功，之前一直報錯，超爽的！,開心語調,開心語調,開心語調,開心語調
我的電腦突然崩潰了，他沒給我存檔，我寫的程式全沒了，我快哭了！,憤怒語調,悲傷語調,悲傷語調,悲傷語調
老師說下週要交專案，我還什麼都沒做，頭好痛！,平淡語氣,悲傷語調,憤怒語調,關切語調
這堂課的軟體操作真的好複雜，我完全搞不懂。,厭惡語調,悲傷語調,悲傷語調,悲傷語調
我怎麼試都無法解決這個bug，感覺自己好沒用。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
老師今天居然用Python寫了一個FPS遊戲，超酷的！,驚奇語調,驚奇語調,開心語調,開心語調
我剛在市場找到一個超便宜的水果攤，這些水果好蠻新鮮的！,開心語調,開心語調,開心語調,開心語調
這個商店的價格居然比上次貴了好多，漲那麼多真的太誇張了！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
這裡人太多了，我有點擔心會不會被扒手盯上。,平淡語氣,關切語調,關切語調,關切語調
這家賣的肉看起來不太新鮮，我不敢買。,厭惡語調,厭惡語調,厭惡語調,關切語調
我今天沒帶夠錢，很多想買的東西都沒法買了。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
哇！這裡有個賣古董的攤位，我從來沒在夜市見過這種東西！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
昨晚的比賽太精彩了！勇士隊終於贏了，超爽的！,開心語調,開心語調,開心語調,開心語調
裁判的判決太不公平了，我覺得我們被陰了！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
你知道嗎？Lebron昨晚居然又破了一項紀錄，太不可思議了！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
唉，湖人隊又輸了，今年季後賽估計沒希望了。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我很擔心我們的主力球員受傷，這會影響我們進季後賽的機會。,平淡語氣,關切語調,關切語調,關切語調
我真的不喜歡那個球員的打法，他給我的感覺是一直想要自己來。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
這裡的風景太美了！真是個露營的好地方。,開心語調,開心語調,開心語調,開心語調
帳篷的支架居然壞了！真是氣死我了。,憤怒語調,憤怒語調,憤怒語調,憤怒語調
天好像快黑了，我有點擔心找不到路回營地。,平淡語氣,關切語調,關切語調,關切語調
哎，蚊子實在太多了，真的很煩。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我們準備的食物好像不夠，感覺有點失策。,悲傷語調,悲傷語調,悲傷語調,關切語調
那天的星星好亮，太漂亮了！,驚奇語調,開心語調,開心語調,開心語調
這場演唱會太棒了！現場氣氛超嗨！,開心語調,開心語調,開心語調,開心語調
後面那個人一直推我，真的很沒禮貌！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
人太多了，我有點害怕出事。,平淡語氣,關切語調,關切語調,關切語調
天啊！楊愷安居然在台上即興演奏，這太讓人意外了！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
這音響效果好像不太好，聲音有點失真。,厭惡語調,平淡語氣,厭惡語調,關切語調
唉，演唱會快結束了，真有點捨不得。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我剛中了一個超大的獎！真的不敢相信！,開心語調,驚奇語調,驚奇語調,驚奇語調
今天早上上班的時候又塞車，又遲到了！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我有點怕明天的面試，不知道自己準備得夠不夠。,平淡語氣,關切語調,疑問語調,關切語調
你知道嗎？我居然在書店碰到了我小學同學！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
這咖啡味道好怪，不想喝了。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我最近覺得自己很沒用，什麼事都做不好。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我剛升職了！終於盼到了這一天！,開心語調,開心語調,開心語調,開心語調
我今天和朋友吵架了，感覺很糟糕。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我的老闆今天真是太過分了，毫無理由地指責我！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我明天要去參加一個很重要的面試，好緊張。,平淡語氣,關切語調,關切語調,關切語調
你知道嗎？隔壁的鄰居竟然中了樂透！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天午餐的味道太噁心了，我一口都吃不下。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
週末有什麼計劃嗎？,平淡語氣,疑問語調,疑問語調,疑問語調
我剛學會了做蛋糕，真是太有成就感了！,開心語調,開心語調,開心語調,開心語調
我的手機昨天摔壞了，修理費好貴，我現在心情很差。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我真的受不了，這家公司的服務態度差到不行！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
剛剛在路上遇到一群流浪狗，嚇死我了。,平淡語氣,驚奇語調,驚奇語調,關切語調
你聽說了嗎？我們學校居然被選為全市最優秀學校！,驚奇語調,驚奇語調,開心語調,開心語調
今天的天氣又悶又熱，我真的受不了了。,厭惡語調,憤怒語調,憤怒語調,厭惡語調
我晚餐要吃什麼啊？,平淡語氣,疑問語調,疑問語調,疑問語調
我今天買到了一雙限量版的鞋子，超爽的！,開心語調,開心語調,開心語調,開心語調
最近壓力很大，感覺好累。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
那個司機居然在紅燈的時候加速，真是太危險了！,憤怒語調,驚奇語調,憤怒語調,憤怒語調
我好擔心這次的考試，感覺自己準備得不夠好。,平淡語氣,關切語調,關切語調,關切語調
你知道嗎？劉永樂居然在一週內瘦了10公斤！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
這頓飯真的太油膩了，我吃不下了。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我下週可能要出差，你有什麼建議嗎？,平淡語氣,疑問語調,疑問語調,疑問語調
我剛拿到駕照了！終於可以自己開車了！,開心語調,開心語調,開心語調,開心語調
我昨天的面試表現不好，感覺沒機會了。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
這次合作完全失敗了，大家都超不負責任！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我晚上要一個人去醫院看診，我有點害怕。,平淡語氣,關切語調,關切語調,悲傷語調
你知道嗎？我剛發現陳思愷居然是個作家！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
那家餐廳的服務態度太差了，讓人沒心情吃飯。,厭惡語調,憤怒語調,憤怒語調,憤怒語調
這週末天氣好嗎？我想要去爬山。,平淡語氣,疑問語調,疑問語調,疑問語調
我今天拿到了公司的錄取通知書！太開心了！,開心語調,開心語調,開心語調,開心語調
我的朋友要搬到另一個城市了，真的很捨不得他。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
他明明答應會幫忙的，結果什麼都沒做！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
這次的檢查報告結果還沒出來，我好緊張...,平淡語氣,關切語調,關切語調,關切語調
你知道嗎？那家超市竟然開始賣奢侈品了！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
這天氣實在太潮濕了，讓人很不舒服。,厭惡語調,厭惡語調,厭惡語調,
下週有個演講，你打算參加嗎？,平淡語氣,疑問語調,疑問語調,疑問語調
我剛贏了一場比賽，實在是太開心了！,開心語調,開心語調,開心語調,開心語調
我家養了十年的狗今天走了，我好難過。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
今天有人在公車上大聲講電話，真是讓人火大！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我這幾天總是感覺不舒服，是不是生病了。,平淡語氣,關切語調,疑問語調,關切語調
你不會相信，我剛剛在街上碰到了小學同學！,驚奇語調,驚奇語調,驚奇語調,
這件衣服的材質摸起來刺刺的，穿著也不舒服。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
你覺得這部電影值得看嗎？,平淡語氣,疑問語調,疑問語調,疑問語調
我今天終於完成了那個難搞的專案，太開心了！,開心語調,開心語調,開心語調,開心語調
今天我聽到了一個壞消息，我朋友的爸爸過世了....,悲傷語調,悲傷語調,悲傷語調,悲傷語調
那個人今天又沒交工作報告！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我明天有個很重要的演講，現在好緊張。,平淡語氣,關切語調,關切語調,關切語調
你知道嗎？我剛剛看到我們的教授在打籃球！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天的外賣真的是太糟糕了，味道難吃死了。,厭惡語調,厭惡語調,厭惡語調,憤怒語調
週末有沒有想去的地方？,平淡語氣,疑問語調,疑問語調,疑問語調
我今天中了小獎，雖然不是很多，但還是很開心！,開心語調,開心語調,開心語調,開心語調
我最近心情不太好，感覺什麼事都不順利。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
今天那個客戶又放我鴿子了，真的讓人火大！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
最近新聞說疫情又開始變嚴重了，我有點害怕。,平淡語氣,關切語調,關切語調,關切語調
你知道嗎？我朋友突然決定搬到國外去工作了！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
這杯咖啡喝起來太苦了，根本沒法喝。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
最近有什麼新出的好書推薦嗎？,平淡語氣,疑問語調,疑問語調,平淡語氣
我終於學會了彈鋼琴的那首曲子！,開心語調,開心語調,開心語調,開心語調
我今天被公司拒絕了...,悲傷語調,悲傷語調,悲傷語調,悲傷語調
那個同事今天又在會議上插嘴，真是氣死我了！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我好擔心下週的考試，感覺準備的不太夠。,平淡語氣,關切語調,關切語調,關切語調
你聽說了嗎？我們班的那個同學得了獎學金！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天的天氣又熱又黏，真是讓人受不了。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
你今晚有空嗎？我想和你聊聊。,平淡語氣,關切語調,疑問語調,
我剛剛中午抽到了免費電影票欸，超爽的！,開心語調,開心語調,開心語調,開心語調
我今天跟朋友吵架了，有點難過，我不知道該怎麼辦。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
今天我手機被偷了，真的很不爽！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
最近社區裡好像有人遇到暴露狂，我有點擔心。,平淡語氣,關切語調,關切語調,關切語調
你知道嗎？我學長居然自己創業開了一家公司！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天的麵真的是煮得太爛了，根本沒辦法吃。,厭惡語調,憤怒語調,憤怒語調,憤怒語調
你週末有沒有空？想不想一起去看展覽嗎？,平淡語氣,疑問語調,疑問語調,疑問語調
我剛完成了人生第一次跳傘！那感覺真的此生難忘！,開心語調,驚奇語調,開心語調,開心語調
我昨天發現我種了半年多的櫻花枯萎了，真的很心疼。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我今天騎車被一台汽車逼車，還差點被撞到，那台車真他媽白癡！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
明天要去參加大學的面試，我有點緊張怕會表現得不好。,平淡語氣,關切語調,關切語調,關切語調
你相信嗎？我今天在西門町遇到了我國中的老師！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天去看了個房子，結果環境整個超亂的，完全不是預期中的樣子。,厭惡語調,憤怒語調,厭惡語調,厭惡語調
你對這次政府的新政策有什麼看法？,平淡語氣,疑問語調,疑問語調,疑問語調
我剛學會騎機車了！感覺超自由的，不用再搭公車了！,開心語調,開心語調,開心語調,開心語調
我剛剛送走了我最好的朋友，他要去國外念書，好空虛。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
今天在銀行排了快一個小時，結果窗口的人辦事效率超慢，浪費我時間！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
最近疫情又升溫了，我真的有點害怕，不敢隨便出門。,平淡語氣,悲傷語調,關切語調,關切語調
你知道嗎？我們鄰居的貓竟然學會自己開門，真的超聰明！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天去逛了一家新開的餐廳，結果環境超髒，讓我一點食慾都沒有。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
最近有什麼好看的劇嗎？,平淡語氣,疑問語調,疑問語調,疑問語調
我剛剛收到面試通知了！終於有機會去應徵我夢想中的公司！,開心語調,開心語調,開心語調,開心語調
我養了五年的金魚今天死了，我很傷心。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
今天去便利商店買東西，結果結帳的時候店員態度超差的！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
昨天晚上我聽到家外面有奇怪的聲音，真的被嚇到了，不知道發生了什麼事。,平淡語氣,驚奇語調,關切語調,關切語調
我剛剛才知道，我爸年輕時候居然是五月天的鼓手，完全沒想到！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天坐計程車的時候，車裡的味道超怪，讓我差點吐了。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
下週有個朋友的生日派對，你要一起去嗎？,平淡語氣,疑問語調,疑問語調,疑問語調
我剛拿到了獎學金，完全沒想到能拿到這麼多！,開心語調,驚奇語調,驚奇語調,開心語調
今天是我和朋友最後一次見面了，因為他要去國外定居。,悲傷語調,悲傷語調,關切語調,悲傷語調
今天在網路上買的東西到了，結果完全跟圖片不一樣，被坑的好慘，有夠氣！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
這幾天一直有詐騙電話打來，我有點擔心個資外洩了。,平淡語氣,關切語調,關切語調,關切語調
你知道嗎？我朋友居然剛買了一台特斯拉，這麼年輕就這麼有錢！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天路上有人亂丟垃圾，真的很沒品！,厭惡語調,憤怒語調,厭惡語調,憤怒語調
下週末有空嗎？我們可以去爬象山，天氣應該會不錯。,平淡語氣,開心語調,開心語調,疑問語調
我今天去海邊，衝浪真的超好玩！,開心語調,開心語調,開心語調,開心語調
我的手機不小心掉進水裡了，現在完全壞掉了，我現在頭超痛。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
今天外送又遲到了，還送錯餐點，真的很誇張！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
最近我晚上都睡不好，一直做惡夢。,平淡語氣,悲傷語調,悲傷語調,悲傷語調
我朋友竟然中了一百萬！這也太誇張了吧！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天我去的那家餐廳，服務態度超差，整個用餐過程超不爽！,厭惡語調,憤怒語調,,憤怒語調
禮拜天要幹嘛？要不要一起去看電影？,平淡語氣,疑問語調,疑問語調,疑問語調
我今天參加了馬拉松，順利跑完全程！真的很有成就感！,開心語調,開心語調,開心語調,開心語調
我今天收到消息，我的朋友要搬去國外了，感覺心裡很空虛。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
今天被計程車司機繞路，結果車費比平常多了一倍，真是氣死我了！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
最近社區好像發生了幾起竊盜案，我開始有點擔心家裡的安全。,平淡語氣,關切語調,關切語調,關切語調
你知道嗎？我昨天在百貨公司碰到了周杰倫，超意外的！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天去了一家餐廳，結果桌子油膩膩的，環境真的很糟糕。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
你覺得這次要不要參加學校的志工活動？聽說蠻有趣的。,平淡語氣,疑問語調,疑問語調,疑問語調
我今天終於有駕照了！可以自己開車了，超爽的！,開心語調,開心語調,開心語調,開心語調
我的寵物生病了，好難過，不知道牠會不會好起來。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
今天去餐廳吃飯，結果服務生態度超差，整個氣氛都被搞壞了。,憤怒語調,憤怒語調,憤怒語調,憤怒語調
最近常常有詐騙電話，我有點怕自己的個資外洩了。,平淡語氣,關切語調,關切語調,關切語調
你知道嗎？我朋友剛中了五千萬的樂透！這也太誇張了吧！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天去公園野餐，結果草地上到處都是垃圾，有夠髒的。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
你這週末有沒有計劃？要不要一起去台中玩？,平淡語氣,開心語調,疑問語調,疑問語調
我今天買到了限量版的球鞋！排隊排了一整天，但超值得！,開心語調,開心語調,開心語調,開心語調
我今天才發現，我喜歡的那家咖啡店要關門了，以後就沒辦法再喝到我最喜歡的咖啡了。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
今天我的電腦又當機了，害我工作進度全都延遲，還害我被老闆罵，超氣的！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
最近晚上總覺得家裡附近很安靜，我一個人待著有點怕。,平淡語氣,關切語調,關切語調,悲傷語調
你相信嗎？我今天在捷運上碰到了高中老師，真的太巧了！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天中午點的外賣超難吃，菜都涼了，真的很不爽。,厭惡語調,憤怒語調,憤怒語調,憤怒語調
這週五有個聚餐活動，你要不要一起去？,平淡語氣,開心語調,關切語調,疑問語調
我今天跟張家銘一起去看了一場演唱會，氣氛嗨到爆！,開心語調,開心語調,開心語調,開心語調
今天我心情超差，我家養的狗狗生病了，真的很難過。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
今天我排隊排了半個小時，結果前面的人插隊，店員竟然不管！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
最近我晚上回家時總覺得有人在跟著我，感覺有點害怕。,平淡語氣,關切語調,關切語調,關切語調
你知道嗎？我今天在路上看到了一台超酷的改裝車，簡直像電影裡的一樣！,驚奇語調,驚奇語調,驚奇語調,開心語調
今天去買了一杯手搖飲，但太甜了，喝到我都快吐了。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
這週末天氣不錯，要不要一起去淡水走走？,平淡語氣,開心語調,開心語調,開心語調
我剛剛收到了林慈亭寄來的生日禮物，超級驚喜！,開心語調,開心語調,驚奇語調,開心語調
我很喜歡的一個偶像宣布要退出演藝圈了，真的好難過。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
今天公車司機開得超快，還差點撞到人，真的太危險了！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我最近接到一個奇怪的電話，對方問了很多私人問題，我開始覺得不安。,平淡語氣,關切語調,關切語調,關切語調
你知道嗎？我今天在餐廳碰到了一位電視上的名主持人，太驚喜了！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天去了一家新的火鍋店，結果整個環境又油又髒，真是讓人失望。,厭惡語調,厭惡語調,厭惡語調,
週末有個市集活動，你想不想去逛逛？,平淡語氣,開心語調,疑問語調,疑問語調
我剛剛跟同學去吃了一家新開的餐廳，結果超級好吃！,開心語調,開心語調,開心語調,開心語調
我的手機突然壞掉了，而且裡面的資料都沒備份，我快崩潰了。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我今天搭捷運一直被推，結果手機掉地上摔壞了，真的很氣！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
昨天晚上我一個人在家，突然停電，整個人都嚇壞了。,平淡語氣,驚奇語調,驚奇語調,
你知道嗎？我的同事居然是個業餘畫家，他畫的作品超級專業！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天吃的便當菜色又油又膩，吃完整個胃都不舒服。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
最近有什麼好看的電影嗎？我有點想找時間去電影院。,平淡語氣,疑問語調,疑問語調,平淡語氣
我剛剛去參加了一個朋友的婚禮，整個氣氛超棒的，大家都好開心！,開心語調,開心語調,開心語調,開心語調
今天回家發現養了多年的植物枯萎了，感覺心裡很空。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
今天去超市買東西，結果結帳時發現標價跟實際收費不一樣，感覺被坑了！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
最近家附近好像常常發生偷竊案，晚上一個人回家有點害怕。,平淡語氣,關切語調,關切語調,關切語調
你知道嗎？我在街上碰到了一位小學同學，我們已經好久沒聯絡了！,驚奇語調,驚奇語調,驚奇語調,開心語調
今天去的一家咖啡廳，結果桌子黏黏的，環境也超髒，讓人吃不下東西。,厭惡語調,厭惡語調,厭惡語調,厭惡語調
這週末要不要去台北看展覽？我聽說有個很有趣的藝術展。,平淡語氣,開心語調,開心語調,
我今天在抽獎活動中中了免費機票，感覺超級幸運！,開心語調,,開心語調,開心語調
我剛跟朋友吵了一架，感覺好難過，現在不知道該怎麼辦。,悲傷語調,悲傷語調,悲傷語調,悲傷語調
今天有個人違規停車，害我塞車塞了半個小時，浪費我時間！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
最近我常收到奇怪的詐騙簡訊，有點怕個資外洩了。,平淡語氣,關切語調,關切語調,關切語調
你知道嗎？我今天在公司發現我的老闆居然會打鼓，完全沒想到！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
今天午餐吃的餐廳服務超差，還弄錯了我的餐點，真的讓人不爽。,厭惡語調,憤怒語調,憤怒語調,憤怒語調
你這週末有沒有空？我們可以去看看新上映的電影。,平淡語氣,疑問語調,疑問語調,疑問語調
欸你有看那個電影紅衣小女孩嗎 超可怕的 害我都睡不著,平淡語氣,驚奇語調,驚奇語調,
今天那個老師超討厭的,厭惡語調,厭惡語調,厭惡語調,憤怒語調
欸我很怕我長不高怎麼辦,平淡語氣,關切語調,疑問語調,關切語調
你怎麼這麼討厭啊,厭惡語調,厭惡語調,憤怒語調,厭惡語調
週末要不要去玩劇本殺啊,平淡語氣,開心語調,開心語調,疑問語調
欸晚餐要吃什麼,平淡語氣,疑問語調,疑問語調,平淡語氣
欸你知道陳思愷約我去網咖結果放鳥我,憤怒語調,驚奇語調,厭惡語調,憤怒語調
哇你臉色怎麼這麼差啊？你昨天有睡覺嗎,驚奇語調,關切語調,驚奇語調,關切語調
好無聊喔,平淡語氣,平淡語氣,悲傷語調,悲傷語調
欸昨天那個地震超恐怖的,平淡語氣,驚奇語調,驚奇語調,關切語調
我昨天看了那個恐怖電影咒害我睡不著覺,平淡語氣,驚奇語調,驚奇語調,悲傷語調
我昨天看那個恐怖電影咒害我睡不著覺,平淡語氣,驚奇語調,悲傷語調,關切語調
唉我好想我的女朋友喔,悲傷語調,悲傷語調,悲傷語調,悲傷語調
你知道嗎我們今天班費被偷了欸,平淡語氣,驚奇語調,驚奇語調,悲傷語調
幹今天陳思愷真的很過分,憤怒語調,憤怒語調,憤怒語調,憤怒語調
欸有沒有推薦的歌,平淡語氣,疑問語調,疑問語調,疑問語調
我想要跟陳允熙告白你可以幫我嗎？,平淡語氣,疑問語調,疑問語調,
誒誒誒我跟你說喔,平淡語氣,驚奇語調,驚奇語調,
我覺得今天午餐超難吃,厭惡語調,厭惡語調,厭惡語調,厭惡語調
我今天聽到一首好聽的曲子欸,開心語調,開心語調,開心語調,開心語調
今天真的超級熱,憤怒語調,平淡語氣,驚奇語調,厭惡語調
今天真的超級累,厭惡語調,悲傷語調,悲傷語調,悲傷語調
我想不到吃什麼？,悲傷語調,疑問語調,疑問語調,疑問語調
幹我今天基本電學考得超爛,憤怒語調,憤怒語調,憤怒語調,憤怒語調
完蛋！我找不到我的耳機,驚奇語調,驚奇語調,憤怒語調,悲傷語調
中秋節要不要烤肉,開心語調,疑問語調,疑問語調,疑問語調
好飽喔,平淡語氣,開心語調,平淡語氣,開心語調
我老闆超機車,厭惡語調,憤怒語調,憤怒語調,憤怒語調
太小氣了，什麼錢都摳,悲傷語調,厭惡語調,厭惡語調,憤怒語調
我前老闆就不小氣,驚奇語調,平淡語氣,開心語調,開心語調
最近壓力有點大,悲傷語調,悲傷語調,關切語調,悲傷語調
最近的課業壓力，讓我覺得好累,厭惡語調,悲傷語調,悲傷語調,悲傷語調
他唱歌好難聽,憤怒語調,厭惡語調,厭惡語調,厭惡語調
為什麼人可以蠢成這樣,憤怒語調,憤怒語調,憤怒語調,厭惡語調
你今天看起來很累欸,平淡語氣,關切語調,關切語調,關切語調
有風欸！好涼喔！,開心語調,開心語調,開心語調,開心語調
我加入樂團不是為了聊心事，我只是想用鼓棒猛敲我的心事,憤怒語調,悲傷語調,悲傷語調,
我沒事啦,厭惡語調,平淡語氣,平淡語氣,平淡語氣
我不想跟你吵這件事，好嗎？,悲傷語調,關切語調,關切語調,
你就喜歡嘲笑別人，大家都超愛，但沒有人知道被嘲笑滋味,悲傷語調,悲傷語調,憤怒語調,悲傷語調
你想要談談嗎？,平淡語氣,關切語調,關切語調,疑問語調
你這一代的男人都不願意敞開心房？,驚奇語調,疑問語調,疑問語調,疑問語調
我不管做什麼都有人對我失望,悲傷語調,悲傷語調,悲傷語調,悲傷語調
我只是不希望他搞砸,悲傷語調,關切語調,關切語調,關切語調
我不喜歡他對我說謊,悲傷語調,厭惡語調,厭惡語調,憤怒語調
當你覺得自己是個好家長，覺得自己做對了，結果他卻長大了！我不想失去他，你懂嗎？,悲傷語調,悲傷語調,悲傷語調,悲傷語調
完蛋了啦！今天要報告欸，好怕被砲,平淡語氣,關切語調,憤怒語調,關切語調
你覺得我要去看書嗎？,平淡語氣,疑問語調,疑問語調,疑問語調
他媽怎麼嘴可以這麼賤啊,厭惡語調,憤怒語調,憤怒語調,憤怒語調
我昨天只睡了半個小時，後來跌倒就醒來了,悲傷語調,悲傷語調,關切語調,關切語調
我不太擅長這些....,悲傷語調,悲傷語調,悲傷語調,悲傷語調
咁我已經在睡了，被你的震動吵醒,憤怒語調,憤怒語調,憤怒語調,憤怒語調
最近有什麼電影好看嗎,開心語調,疑問語調,疑問語調,平淡語氣
我告訴你一家超好吃的餐廳,開心語調,開心語調,開心語調,開心語調
要幫你印急件嗎，然後你到時候再給我錢,平淡語氣,關切語調,疑問語調,
你真的很謙虛耶！我是真的是那種學了後面忘了前面的人,開心語調,平淡語氣,開心語調,
今天有點想打球，要一起嗎,開心語調,開心語調,開心語調,疑問語調
我最近想換髮型了，你有推薦的嗎？,開心語調,疑問語調,疑問語調,疑問語調
還ok嗎？ 感覺應該不太好，希望明天有好心情,悲傷語調,關切語調,關切語調,關切語調
我剛剛收到了一個朋友送的驚喜！真的超感動！,開心語調,開心語調,開心語調,開心語調
我的貓咪生病了，感覺好難受，不知道該怎麼辦。,悲傷語調,悲傷語調,關切語調,悲傷語調
今天我明明有預約，結果到了診所還讓我等了一個小時，真的氣死了！,憤怒語調,憤怒語調,憤怒語調,憤怒語調
我最近覺得身體狀況不太好，總是感覺疲憊，開始有點擔心是不是生病了。,平淡語氣,關切語調,關切語調,關切語調
你相信嗎？我朋友剛剛突然告訴我他要搬去國外了，完全沒想到！,驚奇語調,驚奇語調,驚奇語調,驚奇語調
